"product_key","product_name","category","subcategory","cost","last_sale_date","recency_in_months","product_segment","lifespan","total_orders","total_sales","total_quantity","total_customers","avg_selling_price","avg_order_revenue","avg_monthly_revenue"
3,"Mountain-100 Black- 38","Bikes","Mountain Bikes",1898,"2011-12-27","160","High-Performer","11","49","826875","245","49","3375.0","16875","75170.454545454545"
4,"Mountain-100 Black- 42","Bikes","Mountain Bikes",1898,"2011-12-27","160","High-Performer","11","45","759375","225","45","3375.0","16875","69034.090909090909"
5,"Mountain-100 Black- 44","Bikes","Mountain Bikes",1898,"2011-12-21","160","High-Performer","11","60","1012500","300","60","3375.0","16875","92045.454545454545"
6,"Mountain-100 Black- 48","Bikes","Mountain Bikes",1898,"2011-12-26","160","High-Performer","11","57","961875","285","57","3375.0","16875","87443.181818181818"
7,"Mountain-100 Silver- 38","Bikes","Mountain Bikes",1912,"2011-12-22","160","High-Performer","11","58","986000","290","58","3400.0","17000","89636.363636363636"
8,"Mountain-100 Silver- 42","Bikes","Mountain Bikes",1912,"2011-12-28","160","High-Performer","11","42","714000","210","42","3400.0","17000","64909.090909090909"
9,"Mountain-100 Silver- 44","Bikes","Mountain Bikes",1912,"2011-12-12","160","High-Performer","11","49","833000","245","49","3400.0","17000","75727.272727272727"
10,"Mountain-100 Silver- 48","Bikes","Mountain Bikes",1912,"2011-12-23","160","High-Performer","11","36","612000","180","36","3400.0","17000","55636.363636363636"
16,"Road-150 Red- 44","Bikes","Road Bikes",2171,"2011-12-28","160","High-Performer","11","281","5027090","1405","281","3578.0","17890","457008.181818181818"
17,"Road-150 Red- 48","Bikes","Road Bikes",2171,"2011-12-28","160","High-Performer","11","337","6028930","1685","337","3578.0","17890","548084.545454545455"
18,"Road-150 Red- 52","Bikes","Road Bikes",2171,"2011-12-27","160","High-Performer","11","302","5402780","1510","302","3578.0","17890","491161.818181818182"
19,"Road-150 Red- 56","Bikes","Road Bikes",2171,"2011-12-27","160","High-Performer","11","295","5277550","1475","295","3578.0","17890","479777.272727272727"
20,"Road-150 Red- 62","Bikes","Road Bikes",2171,"2011-12-28","160","High-Performer","11","336","6011040","1680","336","3578.0","17890","546458.181818181818"
36,"Road-650 Black- 44","Bikes","Road Bikes",487,"2012-12-26","148","High-Performer","23","63","237825","315","63","755.0","3775","10340.2173913043478261"
37,"Road-650 Black- 48","Bikes","Road Bikes",487,"2012-12-25","148","High-Performer","20","60","227760","300","60","759.0","3796","11388.000000000000"
38,"Road-650 Black- 52","Bikes","Road Bikes",487,"2012-12-19","148","High-Performer","22","89","334575","445","89","751.0","3759","15207.954545454545"
39,"Road-650 Black- 58","Bikes","Road Bikes",487,"2012-12-18","148","High-Performer","23","76","289980","380","76","763.0","3815","12607.826086956522"
